ID_Suivi,ID_Etudiant,ID_Cours,Note,Nombre_Absences,Date_Evaluation
1,4963,63,"3,41",2,2022-04-20
2,874,14,"14,11",4,2023-09-04
3,420,98,"12,75",1,2025-02-21
4,2738,95,"10,65",3,2024-04-15
5,1412,97,"16,92",2,2024-12-16
6,4218,81,"18,2",1,2023-06-17
7,4663,9,"14,55",2,2022-10-18
8,3690,40,"11,92",3,2023-05-26
9,2894,39,"4,49",3,2022-05-08
10,425,28,"17,18",4,2022-09-17
11,177,78,"19,97",1,2024-01-11
12,2357,90,"7,2",1,2024-08-24
13,3600,30,"12,77",2,2022-04-25
14,1082,70,"10,7",0,2022-11-25
15,1698,6,"13,8",0,2023-12-30
16,3708,100,"12,84",0,2023-07-23
17,128,79,"5,45",1,2023-04-30
18,3450,32,"8,24",4,2024-01-22
19,544,27,"7,11",0,2023-04-09
20,3201,21,"17,42",3,2023-04-15
21,930,20,"6,09",1,2024-07-24
22,614,16,"12,54",2,2023-06-11
23,3170,13,"9,6",1,2023-02-09
24,3379,96,"5,53",4,2023-12-21
25,2298,64,"19,8",2,2024-08-24
26,873,64,"3,08",3,2023-05-10
27,3468,59,"7,96",1,2023-10-08
28,1305,90,"6,66",1,2023-01-21
29,2427,12,"14,3",0,2022-05-31
30,2570,49,"2,35",2,2022-10-26
31,4747,58,"1,98",0,2023-07-26
32,3149,47,"13,6",2,2023-03-21
33,4727,88,"18,14",1,2023-05-16
34,1814,89,"17,82",0,2023-10-22
35,78,87,"7,51",4,2022-10-01
36,3714,34,"7,91",0,2025-02-04
37,3129,58,"8,19",1,2023-03-31
38,4777,64,"19,4",3,2022-05-16
39,89,95,"16,93",0,2023-06-01
40,4562,24,"4,9",1,2022-05-29
41,4472,76,"2,67",4,2023-09-05
42,529,32,"9,49",3,2022-10-07
43,3843,34,"11,49",2,2023-01-11
44,3669,64,"13,7",1,2023-01-13
45,2349,91,"16,06",3,2024-04-28
46,1894,37,"3,8",4,2025-01-05
47,3036,13,6,0,2023-06-01
48,3259,17,"8,57",4,2023-11-02
49,792,80,"13,47",1,2023-12-11
50,3315,64,"4,24",3,2024-08-04
51,3741,39,"3,29",4,2024-12-20
52,723,64,"1,58",1,2024-01-05
53,4066,96,"6,32",3,2024-05-31
54,219,11,"18,09",1,2022-08-31
55,2173,83,"8,12",4,2023-11-09
56,2803,94,"19,97",2,2022-11-01
57,1297,99,"0,24",2,2023-10-11
58,4036,27,"12,21",1,2023-08-30
59,2445,44,"5,17",4,2024-02-09
60,924,24,"1,81",1,2023-05-03
61,1224,86,"12,29",1,2024-02-21
62,2133,76,"19,87",0,2025-01-22
63,990,99,"4,32",0,2023-05-26
64,3237,62,"5,66",4,2023-02-21
65,4335,53,"9,84",1,2022-10-26
66,3596,61,"4,46",0,2022-10-14
67,2302,53,"13,71",1,2022-06-08
68,4198,98,"19,52",1,2024-01-08
69,3064,20,19,2,2024-01-23
70,3751,23,"8,61",4,2023-12-17
71,629,9,"8,85",3,2022-03-21
72,3992,43,"14,87",2,2023-08-16
73,4208,16,"11,72",1,2023-12-30
74,3280,44,"4,05",4,2022-06-16
75,4305,6,"6,03",4,2022-06-26
76,4609,84,"16,24",0,2024-03-06
77,603,57,"6,53",2,2022-11-05
78,3171,91,"2,1",1,2024-02-27
79,1286,57,"11,38",2,2024-08-20
80,1553,96,"2,5",4,2023-11-15
81,207,24,"16,66",0,2022-07-31
82,1459,2,"18,42",3,2022-06-25
83,871,80,"15,44",0,2025-03-03
84,1111,5,"14,19",4,2024-01-17
85,1171,88,"15,4",1,2023-07-26
86,120,94,"11,09",0,2023-07-08
87,4756,43,"12,41",1,2023-12-24
88,2554,60,"7,19",0,2022-04-30
89,4447,56,"5,15",4,2022-08-07
90,2876,42,"1,69",4,2022-05-28
91,4665,18,"8,79",2,2022-09-16
92,896,85,"1,06",2,2023-08-22
93,4528,34,"7,76",1,2022-08-10
94,375,7,"17,05",1,2023-12-10
95,2915,41,"15,42",1,2025-02-16
96,579,73,"6,7",1,2023-02-18
97,3465,27,"8,5",2,2024-05-23
98,1354,94,"4,75",1,2022-06-22
99,2740,32,"7,12",3,2022-09-26
100,4995,34,"1,21",1,2023-12-25
101,4351,51,"13,78",0,2023-08-15
102,1855,62,"10,9",1,2023-08-20
103,4648,23,"4,74",0,2023-03-12
104,3282,57,"13,69",4,2023-06-12
105,3094,5,"13,17",3,2023-12-22
106,3833,36,"19,97",4,2024-05-06
107,4425,29,"11,92",1,2024-04-09
108,4947,27,"15,49",1,2022-12-03
109,1554,3,"3,33",4,2024-08-16
110,4085,64,"13,61",3,2023-12-06
111,2992,48,"7,15",2,2024-02-08
112,2365,48,"1,33",3,2023-08-08
